Wall time,Step,Value
1519881891.90549,13940,3
1519881972.44673,21580,1
1519882038.36221,28120,11
1519882329.52918,57020,1
1519882331.42741,57220,1
1519882331.96549,57300,2
1519882547.41828,78660,3
1519882548.02695,78720,2
1519882620.24663,85900,1
1519882621.21763,85980,0
1519882768.69305,100440,1
1519883061.80525,129820,2
1519883348.5229,157860,1
1519883357.07801,158720,1
1519883363.41425,159360,0
1519883494.85922,172400,1
1519883728.26342,195580,0
1519883787.04298,201300,2
1519883859.84601,208720,2
1519883932.64756,215940,3
1519884019.82474,224320,0
1519884212.15287,243540,1
1519884294.34507,251800,0
1519884502.33921,272720,4
1519884511.50746,273660,0
1519884512.15489,273740,2
1519884783.50272,300860,1
1519884795.13643,302040,1
1519884872.20072,309840,1
1519884941.06268,316720,1
1519885070.28671,329760,1
1519885087.78577,331540,0
1519885152.4142,338100,2
1519885170.82867,340000,0
1519885431.88294,366280,1
1519885507.45109,374100,2
1519885634.38379,387520,0
1519885703.43001,394800,0
1519885789.33747,403940,1
1519885868.42031,412640,1
1519886303.90449,459700,0
1519886364.50536,466240,3
1519886369.45399,466780,1
1519886383.14171,468260,2
1519886442.98025,474700,2
1519886446.75849,475080,3
1519886573.21552,488900,0
1519886652.82357,497740,2
1519886668.90797,499580,0
1519886693.12278,501920,0
1519886693.49367,501960,1
1519886768.20671,510260,3
1519886854.41398,519020,3
1519886918.2751,525380,2
1519886991.49312,532720,0
1519887042.91187,537800,2
1519887128.23513,546040,3
1519887214.65518,555380,1
1519887339.1501,568940,2
1519887407.16208,576460,1
1519887511.71604,588080,0
1519887599.08222,597780,13
1519887627.44496,600720,2
1519887666.07523,605020,0
1519887833.4123,623600,3
1519887858.61754,626300,12
1519887898.64477,630640,13
1519887928.93608,634000,2
1519887988.91013,640620,0
1519888263.98612,670740,11
1519888292.26833,673800,2
1519888350.6431,680080,1
1519888398.3416,685240,1
1519888423.9736,688000,2
1519888440.69913,689800,2
1519888697.74834,717420,0
1519888734.75688,721440,2
1519888749.18472,723060,0
1519888826.12011,731640,3
1519888863.86106,735860,3
1519888880.65645,737740,1
1519888911.48332,741200,2
1519888924.72668,742660,3
1519888964.23272,747100,1
1519889011.29263,752220,2
1519889084.41779,760360,1
1519889148.54589,767480,2
1519889157.83284,768520,1
1519889203.77834,773680,1
1519889288.15429,783020,1
1519889375.66083,792820,1
1519889429.30258,798800,1
1519889452.92945,801220,0
1519889464.28163,802500,1
1519889575.96928,814900,0
1519889593.82728,816880,1
1519889667.39418,825080,2
1519889806.99877,840640,2
1519889893.52243,850160,0
1519890168.6802,880820,2
1519890183.72261,882480,1
1519890340.59839,899780,0
1519890428.40288,909440,1
1519890436.85099,910360,0
1519890697.9281,939580,4
1519890727.47,942920,2
1519890822.02581,953460,0
1519890838.37608,955280,14
1519890887.90505,960780,2
1519890889.92332,961020,1
1519890952.19467,967920,0
1519891095.22388,983860,3
1519891439.88545,1021960,2
1519891462.09954,1024400,2
1519891614.9757,1041520,4
1519891642.71088,1044580,0
1519891706.80063,1051660,0
1519891735.07245,1054840,2
1519891794.42098,1061480,14
1519891938.53851,1077620,10
1519891991.73867,1083520,2
1519892067.4566,1092020,3
1519892116.54288,1097320,4
1519892170.06094,1103160,2
1519892253.76686,1112480,2
1519892353.73675,1123640,12
1519892374.73494,1126020,11
1519892392.18842,1127960,2
1519892438.12837,1133120,2
1519892497.68103,1139820,1
1519892519.38603,1142240,2
1519892631.09699,1154660,0
1519892697.08248,1162020,12
1519892819.46241,1175660,0
